name,r,g,b,x,y,z,l,a,b
gray000,0,0,0,0,0,0,0,0,0
gray010,26,26,26,0.313,0.329,0.358,5.76,0,0
gray020,51,51,51,0.313,0.329,0.358,19.75,0,0
gray030,77,77,77,0.313,0.329,0.358,32.14,0,0
gray040,102,102,102,,,,,,
gray050,128,128,128,,,,,,
gray060,153,153,153,,,,,,
gray070,178,178,178,,,,,,
gray080,204,204,204,,,,,,
gray090,229,229,229,,,,,,
gray100,255,255,255,,,,,,
red000,127,127,127,0.313,0.329,0.358,53.54,0,0
red025,171,111,111,0.392,0.332,0.277,53.36,22.42,10.19
red050,205,92,92,0.471,0.334,0.195,53.48,41.86,22.55
red075,232,68,68,0.548,0.337,0.114,53.43,58.69,38.56
red100,255,0,0,0.63,0.34,0.03,53.21,74.35,67.69
green000,218,218,218,0.313,0.329,0.358,87.31,0,0
green025,176,233,176,0.312,0.395,0.293,87.3,-26.72,21.48
green050,136,242,136,0.311,0.461,0.228,87.05,-47.85,41.21
green075,94,249,94,0.311,0.527,0.163,86.99,-65.28,60.94
green100,0,255,0,0.31,0.595,0.095,87.05,-80.66,83.98
blue000,85,85,85,0.313,0.329,0.358,35.83,0,0
blue025,83,83,107,0.275,0.267,0.458,35.89,6.02,-14.55
blue050,78,78,136,0.235,0.201,0.565,35.84,15.93,-33.23
blue075,68,68,177,0.195,0.135,0.67,35.57,33.07,-58.51
blue100,0,0,255,0.155,0.07,0.775,35.31,72.03,-103.19
cyan000,229,229,229,,,,,,
cyan025,201,236,236,,,,,,
cyan050,168,242,242,,,,,,
cyan075,122,249,249,,,,,,
cyan100,0,255,255,,,,,,
magenta000,144,144,144,,,,,,
magenta025,165,136,165,,,,,,
magenta050,189,122,189,,,,,,
magenta075,218,98,218,,,,,,
magenta100,255,0,255,,,,,,
yellow000,247,247,247,,,,,,
yellow025,249,249,205,,,,,,
yellow050,252,252,162,,,,,,
yellow075,254,254,113,,,,,,
yellow100,255,255,0,,,,,,
